order_id,order_date,city,product,unit_price,quantity,total_revenue
IN-1030,2025-12-23,Delhi,Power Bank,12046.0,4,48184.0
IN-1031,2025-01-15,Maharashtra,Power Bank,21018.0,1,21018.0
IN-1032,2025-10-13,Hyderabad,Earbuds,58588.0,1,58588.0
IN-1033,2025-04-15,Hyderabad,Laptop,45639.0,1,45639.0
IN-1034,2025-08-14,Maharashtra,Smartwatch,9152.0,2,18304.0
IN-1035,2025-05-18,Bengaluru,Smartphone,91766.25,4,367065.0
IN-1036,2025-05-28,Gujrat,Smartwatch,64548.0,1,64548.0
IN-1037,2025-09-14,Maharashtra,Smartphone,71966.0,5,359830.0
IN-1038,2025-11-07,Maharashtra,Power Bank,71462.0,2,142924.0
IN-1039,2025-04-21,Gujrat,Smartwatch,65343.0,3,196029.0
IN-1040,2025-10-27,Bengaluru,Laptop,4868.75,3,14606.25
IN-1041,2025-04-19,Chennai,Laptop,56227.0,3,168681.0
IN-1042,2025-10-01,Chennai,Laptop,11949.0,2,23898.0
IN-1043,2025-05-09,Bengaluru,Power Bank,73156.25,2,146312.5
IN-1044,2025-06-27,Bengaluru,Earbuds,43048.75,2,86097.5
IN-1045,2025-02-28,Maharashtra,Smartwatch,72077.0,4,288308.0
IN-1046,2025-05-18,Hyderabad,Smartphone,2216.0,4,8864.0
IN-1047,2025-07-02,Maharashtra,Backpack,54219.0,5,271095.0
IN-1048,2025-05-18,Bengaluru,Backpack,32852.5,1,32852.5
IN-1049,2025-03-10,Bengaluru,Power Bank,91052.5,5,455262.5
IN-1050,2025-12-17,Maharashtra,Earbuds,29846.0,4,119384.0
IN-1051,2025-07-30,Maharashtra,Laptop,6072.0,2,12144.0
IN-1052,2025-02-12,Gujrat,Laptop,3511.0,2,7022.0
IN-1053,2025-03-07,Gujrat,Smartwatch,53429.0,4,213716.0
IN-1054,2025-08-31,Gujrat,Backpack,73567.0,4,294268.0
IN-1055,2025-08-29,Maharashtra,Power Bank,22627.0,4,90508.0
IN-1056,2025-07-29,Bengaluru,Laptop,82597.5,5,412987.5
IN-1057,2025-05-25,Chennai,Smartwatch,26780.0,2,53560.0
IN-1058,2025-05-29,Bengaluru,Power Bank,16080.0,3,48240.0
IN-1059,2025-12-06,Maharashtra,Laptop,29899.0,4,119596.0
IN-1060,2025-02-22,Gujrat,Power Bank,4134.0,4,16536.0
IN-1061,2025-07-08,Bengaluru,Power Bank,68822.5,4,275290.0
IN-1062,2025-05-16,Maharashtra,Smartwatch,29584.0,5,147920.0
IN-1063,2025-04-20,Maharashtra,Backpack,25142.0,4,100568.0
IN-1064,2025-02-16,Gujrat,Power Bank,4390.0,1,4390.0
IN-1065,2025-10-16,Gujrat,Earbuds,66180.0,2,132360.0
IN-1066,2025-07-24,Chennai,Power Bank,42382.0,2,84764.0
IN-1067,2025-08-23,Bengaluru,Smartwatch,47562.5,4,190250.0
IN-1068,2025-11-09,Maharashtra,Laptop,7955.0,4,31820.0
IN-1069,2025-05-25,Chennai,Smartphone,7741.0,4,30964.0
IN-1070,2025-09-06,Delhi,Smartphone,58876.0,3,176628.0
IN-1071,2025-02-01,Hyderabad,Backpack,70280.0,2,140560.0
IN-1072,2025-06-10,Maharashtra,Earbuds,45915.0,5,229575.0
IN-1073,2025-03-19,Delhi,Backpack,8610.0,4,34440.0
IN-1074,2025-08-14,Delhi,Power Bank,7271.0,3,21813.0
IN-1075,2025-12-10,Delhi,Earbuds,56833.0,4,227332.0
IN-1076,2025-10-02,Maharashtra,Laptop,9683.0,2,19366.0
IN-1077,2025-08-16,Maharashtra,Backpack,4860.0,3,14580.0
IN-1078,2025-06-06,Gujrat,Backpack,66075.0,2,132150.0
IN-1079,2025-07-11,Hyderabad,Earbuds,13113.0,2,26226.0
IN-1080,2025-03-28,Maharashtra,Laptop,33398.0,2,66796.0
IN-1081,2025-08-28,Delhi,Smartwatch,55225.0,5,276125.0
IN-1082,2025-11-02,Chennai,Earbuds,42734.0,5,213670.0
IN-1083,2025-11-30,Chennai,Smartwatch,45552.0,5,227760.0
IN-1084,2025-02-24,Maharashtra,Laptop,53921.0,4,215684.0
IN-1085,2025-05-18,Maharashtra,Smartphone,53536.0,4,214144.0
IN-1086,2025-08-22,Gujrat,Smartwatch,55368.0,4,221472.0
IN-1087,2025-04-11,Delhi,Power Bank,74175.0,4,296700.0
IN-1088,2025-09-28,Delhi,Power Bank,18356.0,4,73424.0
IN-1089,2025-11-01,Maharashtra,Smartphone,44489.0,5,222445.0
IN-1090,2025-03-21,Delhi,Laptop,4626.0,1,4626.0
IN-1091,2025-10-16,Maharashtra,Smartwatch,42608.0,3,127824.0
IN-1092,2025-11-24,Gujrat,Earbuds,1386.0,1,1386.0
IN-1093,2025-07-03,Bengaluru,Power Bank,47403.75,3,142211.25
IN-1094,2025-03-23,Maharashtra,Smartphone,68390.0,3,205170.0
IN-1095,2025-12-17,Hyderabad,Power Bank,46238.0,1,46238.0
IN-1096,2025-02-14,Delhi,Laptop,2699.0,3,8097.0
IN-1097,2025-02-23,Hyderabad,Smartphone,19565.0,2,39130.0
IN-1098,2025-09-30,Maharashtra,Power Bank,45818.0,2,91636.0
IN-1099,2025-03-22,Chennai,Power Bank,73604.0,5,368020.0
IN-1100,2025-10-08,Maharashtra,Earbuds,27608.0,2,55216.0
IN-1101,2025-06-01,Gujrat,Backpack,74680.0,3,224040.0
IN-1102,2025-06-08,Maharashtra,Power Bank,66169.0,3,198507.0
IN-1103,2025-12-17,Delhi,Smartphone,36512.0,4,146048.0
IN-1104,2025-08-11,Hyderabad,Power Bank,28792.0,4,115168.0
IN-1105,2025-03-17,Chennai,Backpack,72604.0,2,145208.0
IN-1106,2025-09-12,Chennai,Laptop,3028.0,4,12112.0
IN-1107,2025-12-23,Bengaluru,Smartphone,77560.0,3,232680.0
IN-1108,2025-05-16,Delhi,Power Bank,57235.0,1,57235.0
IN-1109,2025-05-21,Maharashtra,Smartwatch,59478.0,4,237912.0
IN-1110,2025-09-25,Bengaluru,Power Bank,55565.0,1,55565.0
IN-1111,2025-06-07,Maharashtra,Power Bank,56603.0,2,113206.0
IN-1112,2025-09-09,Maharashtra,Backpack,2457.0,3,7371.0
IN-1113,2025-09-15,Maharashtra,Power Bank,32888.0,4,131552.0
IN-1114,2025-01-17,Maharashtra,Smartphone,65644.0,3,196932.0
IN-1115,2025-09-27,Delhi,Earbuds,7613.0,2,15226.0
IN-1116,2025-05-15,Bengaluru,Earbuds,57380.0,2,114760.0
IN-1117,2025-06-19,Gujrat,Earbuds,27411.0,2,54822.0
IN-1118,2025-06-23,Bengaluru,Laptop,49901.25,5,249506.25
IN-1119,2025-05-11,Bengaluru,Earbuds,68643.75,3,205931.25
IN-1120,2025-12-05,Delhi,Power Bank,9506.0,1,9506.0
IN-1121,2025-03-24,Chennai,Smartwatch,58647.0,3,175941.0
IN-1122,2025-10-30,Hyderabad,Smartwatch,54370.0,5,271850.0
IN-1123,2025-03-24,Delhi,Power Bank,43211.0,2,86422.0
IN-1124,2025-04-10,Chennai,Backpack,3593.0,5,17965.0
IN-1125,2025-08-09,Hyderabad,Earbuds,41461.0,4,165844.0
IN-1126,2025-06-24,Delhi,Smartwatch,48025.0,3,144075.0
IN-1127,2025-02-23,Bengaluru,Smartwatch,86141.25,3,258423.75
IN-1128,2025-02-08,Maharashtra,Backpack,52811.0,4,211244.0
IN-1129,2025-09-16,Bengaluru,Smartwatch,66881.25,1,66881.25
IN-1130,2025-01-02,Hyderabad,Power Bank,56579.0,4,226316.0
IN-1131,2025-04-12,Delhi,Laptop,71106.0,5,355530.0
IN-1132,2025-12-21,Bengaluru,Backpack,25688.75,3,77066.25
IN-1133,2025-10-24,Maharashtra,Earbuds,26443.0,2,52886.0
IN-1134,2025-11-20,Maharashtra,Smartphone,18904.0,1,18904.0
IN-1135,2025-07-23,Maharashtra,Earbuds,8297.0,2,16594.0
IN-1136,2025-10-22,Maharashtra,Smartwatch,6251.0,4,25004.0
IN-1137,2025-08-19,Delhi,Backpack,23799.0,3,71397.0
IN-1138,2025-03-07,Delhi,Power Bank,33901.0,1,33901.0
IN-1139,2025-07-30,Maharashtra,Power Bank,1331.0,2,2662.0
IN-1140,2025-03-28,Bengaluru,Earbuds,2747.5,2,5495.0
IN-1141,2025-05-10,Maharashtra,Backpack,38955.0,5,194775.0
IN-1142,2025-12-17,Bengaluru,Laptop,65102.5,3,195307.5
IN-1143,2025-11-25,Hyderabad,Earbuds,29635.0,1,29635.0
IN-1144,2025-02-09,Maharashtra,Smartwatch,60638.0,1,60638.0
IN-1145,2025-10-12,Maharashtra,Smartwatch,22831.0,4,91324.0
IN-1146,2025-03-31,Bengaluru,Laptop,53131.25,3,159393.75
IN-1147,2025-07-13,Maharashtra,Earbuds,23577.0,4,94308.0
IN-1148,2025-08-08,Maharashtra,Laptop,19717.0,5,98585.0
IN-1149,2025-12-04,Delhi,Earbuds,61202.0,1,61202.0
IN-1150,2025-01-11,Bengaluru,Power Bank,82885.0,3,248655.0
IN-1151,2025-01-26,Delhi,Power Bank,34975.0,1,34975.0
IN-1152,2025-08-10,Hyderabad,Smartwatch,59531.0,5,297655.0
IN-1153,2025-11-06,Chennai,Power Bank,24350.0,2,48700.0
IN-1154,2025-12-29,Gujrat,Smartwatch,66896.0,2,133792.0
IN-1155,2025-04-25,Hyderabad,Laptop,63883.0,4,255532.0
IN-1156,2025-10-13,Maharashtra,Power Bank,73831.0,2,147662.0
IN-1157,2025-11-26,Maharashtra,Smartwatch,67115.0,4,268460.0
IN-1158,2025-03-25,Bengaluru,Laptop,55005.0,3,165015.0
IN-1159,2025-04-24,Maharashtra,Earbuds,2512.0,4,10048.0
IN-1160,2025-09-02,Chennai,Smartphone,31807.0,2,63614.0
IN-1161,2025-10-30,Maharashtra,Smartphone,18799.0,5,93995.0
IN-1162,2025-03-19,Delhi,Smartphone,20990.0,3,62970.0
IN-1163,2025-01-06,Chennai,Smartphone,7902.0,4,31608.0
IN-1164,2025-04-17,Delhi,Smartphone,29232.0,3,87696.0
IN-1165,2025-03-01,Maharashtra,Earbuds,57422.0,1,57422.0
IN-1166,2025-11-12,Hyderabad,Smartwatch,73777.0,2,147554.0
IN-1167,2025-05-01,Gujrat,Backpack,35401.0,3,106203.0
IN-1168,2025-07-13,Chennai,Power Bank,31705.0,5,158525.0
IN-1169,2025-02-23,Delhi,Smartwatch,63517.0,2,127034.0
IN-1170,2025-05-03,Bengaluru,Power Bank,26427.5,2,52855.0
IN-1171,2025-05-06,Delhi,Backpack,70053.0,3,210159.0
IN-1172,2025-08-27,Bengaluru,Backpack,18556.25,4,74225.0
IN-1173,2025-12-06,Delhi,Earbuds,61029.0,3,183087.0
IN-1174,2025-02-19,Delhi,Earbuds,7983.0,5,39915.0
IN-1175,2025-10-08,Gujrat,Earbuds,48770.0,4,195080.0
IN-1176,2025-03-08,Bengaluru,Backpack,60398.75,5,301993.75
IN-1177,2025-03-06,Hyderabad,Smartwatch,36791.0,1,36791.0
IN-1178,2025-04-17,Delhi,Earbuds,8084.0,2,16168.0
IN-1179,2025-01-10,Delhi,Smartphone,5612.0,2,11224.0
IN-1180,2025-07-09,Gujrat,Earbuds,8565.0,4,34260.0
IN-1181,2025-08-04,Maharashtra,Power Bank,57702.0,2,115404.0
IN-1182,2025-07-24,Bengaluru,Power Bank,32740.0,1,32740.0
IN-1183,2025-07-12,Bengaluru,Power Bank,27231.25,2,54462.5
IN-1184,2025-10-14,Maharashtra,Earbuds,37698.0,5,188490.0
IN-1185,2025-12-27,Maharashtra,Smartphone,21431.0,3,64293.0
IN-1186,2025-08-22,Bengaluru,Smartphone,32638.75,1,32638.75
IN-1187,2025-10-10,Bengaluru,Smartphone,65261.25,1,65261.25
IN-1188,2025-09-05,Delhi,Backpack,69946.0,2,139892.0
IN-1189,2025-10-23,Bengaluru,Smartwatch,27222.5,2,54445.0
IN-1190,2025-05-05,Maharashtra,Earbuds,9996.0,2,19992.0
IN-1191,2025-11-21,Gujrat,Smartphone,34698.0,1,34698.0
IN-1192,2025-02-18,Bengaluru,Smartwatch,59023.75,2,118047.5
IN-1193,2025-07-06,Gujrat,Power Bank,40335.0,2,80670.0
IN-1194,2025-05-20,Delhi,Smartwatch,67671.0,4,270684.0
IN-1195,2025-10-03,Maharashtra,Backpack,70544.0,5,352720.0
IN-1196,2025-10-24,Gujrat,Smartphone,61243.0,1,61243.0
IN-1197,2025-12-16,Maharashtra,Smartwatch,73969.0,2,147938.0
IN-1198,2025-01-01,Bengaluru,Smartwatch,26107.5,3,78322.5
IN-1199,2025-05-14,Delhi,Laptop,58742.0,5,293710.0
IN-1200,2025-01-10,Maharashtra,Backpack,4746.0,3,14238.0
IN-1201,2025-08-22,Maharashtra,Laptop,27258.0,5,136290.0
IN-1202,2025-04-16,Bengaluru,Smartwatch,6191.25,3,18573.75
IN-1203,2025-04-21,Hyderabad,Earbuds,38542.0,4,154168.0
IN-1204,2025-12-15,Bengaluru,Smartphone,72552.5,5,362762.5
IN-1206,2025-04-01,Hyderabad,Smartwatch,32434.0,2,64868.0
IN-1207,2025-05-18,Chennai,Smartphone,30725.0,1,30725.0
IN-1208,2025-10-21,Bengaluru,Smartwatch,38228.75,5,191143.75
IN-1209,2025-09-29,Bengaluru,Earbuds,61881.25,4,247525.0
IN-1210,2025-06-09,Delhi,Laptop,25421.0,4,101684.0
IN-1211,2025-07-24,Delhi,Backpack,30210.0,5,151050.0
IN-1212,2025-01-11,Bengaluru,Earbuds,52523.75,4,210095.0
IN-1213,2025-11-27,Maharashtra,Backpack,25662.0,3,76986.0
IN-1214,2025-11-04,Maharashtra,Power Bank,27083.0,2,54166.0
IN-1215,2025-10-08,Hyderabad,Earbuds,45649.0,3,136947.0
IN-1216,2025-09-29,Maharashtra,Smartphone,36498.0,2,72996.0
IN-1217,2025-10-01,Maharashtra,Smartwatch,18094.0,4,72376.0
IN-1218,2025-08-18,Bengaluru,Laptop,69167.5,2,138335.0
IN-1219,2025-12-10,Delhi,Earbuds,54120.0,2,108240.0
IN-1220,2025-10-24,Hyderabad,Earbuds,26717.0,1,26717.0
IN-1221,2025-07-20,Hyderabad,Backpack,59356.0,4,237424.0
IN-1222,2025-10-14,Bengaluru,Backpack,60326.25,1,60326.25
IN-1223,2025-12-03,Maharashtra,Earbuds,30969.0,2,61938.0
IN-1224,2025-02-26,Maharashtra,Power Bank,73984.0,5,369920.0
IN-1225,2025-03-25,Gujrat,Backpack,64007.0,1,64007.0
IN-1226,2025-02-15,Bengaluru,Power Bank,3033.75,1,3033.75
IN-1227,2025-10-31,Gujrat,Backpack,21229.0,5,106145.0
IN-1228,2025-04-30,Gujrat,Smartphone,40301.0,5,201505.0
IN-1229,2025-12-19,Maharashtra,Backpack,58411.0,5,292055.0
IN-1230,2025-03-28,Bengaluru,Backpack,6112.5,4,24450.0
IN-1231,2025-09-18,Maharashtra,Backpack,7622.0,5,38110.0
IN-1232,2025-12-07,Bengaluru,Earbuds,62573.75,4,250295.0
IN-1233,2025-05-18,Maharashtra,Earbuds,30214.0,4,120856.0
IN-1234,2025-03-15,Delhi,Smartwatch,10539.0,4,42156.0
IN-1235,2025-05-27,Maharashtra,Smartphone,62069.0,4,248276.0
IN-1236,2025-02-21,Bengaluru,Earbuds,16593.75,5,82968.75
IN-1237,2025-07-06,Chennai,Smartphone,64332.0,1,64332.0
IN-1238,2025-10-01,Maharashtra,Backpack,25115.0,1,25115.0
IN-1239,2025-10-31,Maharashtra,Laptop,45712.0,1,45712.0
IN-1240,2025-11-05,Maharashtra,Smartwatch,16489.0,4,65956.0
IN-1241,2025-01-06,Bengaluru,Smartphone,18237.5,4,72950.0
IN-1242,2025-05-22,Bengaluru,Laptop,31027.5,4,124110.0
IN-1243,2025-01-03,Hyderabad,Earbuds,25696.0,3,77088.0
IN-1244,2025-06-06,Bengaluru,Earbuds,46335.0,4,185340.0
IN-1245,2025-10-11,Chennai,Smartwatch,41808.0,3,125424.0
IN-1246,2025-06-16,Maharashtra,Earbuds,59938.0,2,119876.0
IN-1247,2025-04-14,Hyderabad,Laptop,62809.0,3,188427.0
IN-1248,2025-11-22,Maharashtra,Earbuds,45042.0,4,180168.0
IN-1249,2025-08-14,Hyderabad,Smartphone,50990.0,1,50990.0
IN-1250,2025-11-20,Bengaluru,Laptop,32107.5,5,160537.5
IN-1251,2025-11-09,Maharashtra,Power Bank,20602.0,5,103010.0
IN-1252,2025-09-18,Maharashtra,Smartwatch,59654.0,2,119308.0
IN-1253,2025-10-20,Gujrat,Earbuds,31463.0,1,31463.0
IN-1254,2025-01-05,Bengaluru,Laptop,70341.25,2,140682.5
IN-1255,2025-03-27,Gujrat,Smartwatch,57549.0,1,57549.0
IN-1256,2025-12-29,Bengaluru,Smartphone,90757.5,1,90757.5
IN-1257,2025-05-14,Hyderabad,Power Bank,6126.0,2,12252.0
IN-1258,2025-03-14,Maharashtra,Earbuds,67960.0,5,339800.0
IN-1259,2025-01-07,Maharashtra,Smartwatch,71503.0,3,214509.0
IN-1260,2025-03-03,Maharashtra,Smartwatch,9774.0,5,48870.0
IN-1261,2025-10-23,Delhi,Backpack,38771.0,5,193855.0
IN-1262,2025-03-19,Maharashtra,Laptop,69919.0,5,349595.0
IN-1263,2025-09-26,Hyderabad,Smartphone,40857.0,2,81714.0
IN-1264,2025-09-28,Maharashtra,Earbuds,57241.0,5,286205.0
IN-1265,2025-05-30,Bengaluru,Earbuds,27526.25,2,55052.5
IN-1266,2025-03-29,Hyderabad,Laptop,22127.0,1,22127.0
IN-1267,2025-02-01,Maharashtra,Smartwatch,35044.0,5,175220.0
IN-1268,2025-01-25,Bengaluru,Laptop,11062.5,3,33187.5
IN-1269,2025-04-01,Maharashtra,Smartwatch,22717.0,5,113585.0
IN-1270,2025-08-10,Delhi,Laptop,23270.0,4,93080.0
IN-1271,2025-03-18,Gujrat,Earbuds,48834.0,1,48834.0
IN-1272,2025-10-04,Chennai,Backpack,4983.0,5,24915.0
IN-1273,2025-06-08,Delhi,Power Bank,31155.0,4,124620.0
IN-1274,2025-03-26,Delhi,Laptop,15212.0,4,60848.0
IN-1275,2025-05-10,Gujrat,Power Bank,40201.0,2,80402.0
IN-1276,2025-03-09,Maharashtra,Smartphone,12426.0,1,12426.0
IN-1277,2025-10-25,Maharashtra,Earbuds,56269.0,3,168807.0
IN-1278,2025-10-14,Gujrat,Laptop,20200.0,4,80800.0
IN-1279,2025-02-16,Delhi,Smartphone,52233.0,3,156699.0
IN-1280,2025-12-14,Chennai,Backpack,25943.0,4,103772.0
IN-1281,2025-10-04,Bengaluru,Earbuds,74333.75,4,297335.0
IN-1282,2025-02-20,Hyderabad,Earbuds,66454.0,3,199362.0
IN-1283,2025-10-25,Bengaluru,Smartwatch,66655.0,3,199965.0
IN-1284,2025-09-28,Maharashtra,Laptop,4605.0,2,9210.0
IN-1285,2025-05-23,Bengaluru,Laptop,62057.5,3,186172.5
IN-1286,2025-07-09,Bengaluru,Power Bank,34775.0,2,69550.0
IN-1287,2025-06-05,Maharashtra,Backpack,62282.0,5,311410.0
IN-1288,2025-07-05,Delhi,Earbuds,54094.0,4,216376.0
IN-1289,2025-12-26,Maharashtra,Earbuds,35446.0,4,141784.0
IN-1290,2025-09-04,Maharashtra,Smartphone,38755.0,2,77510.0
IN-1291,2025-04-27,Delhi,Smartwatch,60978.0,1,60978.0
IN-1292,2025-01-19,Maharashtra,Smartphone,12595.0,3,37785.0
IN-1293,2025-01-10,Gujrat,Laptop,28198.0,5,140990.0
IN-1294,2025-06-27,Maharashtra,Power Bank,43139.0,4,172556.0
IN-1295,2025-01-19,Maharashtra,Smartphone,68873.0,1,68873.0
IN-1296,2025-10-21,Bengaluru,Smartwatch,67245.0,3,201735.0
IN-1297,2025-10-13,Maharashtra,Smartphone,19863.0,2,39726.0
IN-1298,2025-08-14,Maharashtra,Earbuds,14991.0,3,44973.0
IN-1299,2025-04-15,Chennai,Smartphone,16221.0,1,16221.0
IN-1300,2025-04-09,Delhi,Backpack,38801.0,4,155204.0
IN-1301,2025-07-19,Maharashtra,Power Bank,8743.0,2,17486.0
IN-1302,2025-06-12,Maharashtra,Smartphone,21870.0,2,43740.0
IN-1303,2025-02-28,Bengaluru,Smartwatch,68973.75,3,206921.25
IN-1304,2025-11-27,Maharashtra,Smartwatch,33954.0,3,101862.0
IN-1305,2025-11-02,Bengaluru,Smartphone,5033.75,5,25168.75
IN-1306,2025-12-19,Maharashtra,Smartphone,40750.0,3,122250.0
IN-1307,2025-11-14,Gujrat,Power Bank,7268.0,4,29072.0
IN-1308,2025-04-13,Chennai,Laptop,63154.0,1,63154.0
IN-1309,2025-05-07,Delhi,Smartwatch,12376.0,2,24752.0
IN-1310,2025-01-21,Delhi,Power Bank,50498.0,5,252490.0
IN-1311,2025-06-17,Bengaluru,Earbuds,26646.25,1,26646.25
IN-1312,2025-01-10,Maharashtra,Backpack,3822.0,3,11466.0
IN-1313,2025-08-29,Bengaluru,Power Bank,3711.25,3,11133.75
IN-1314,2025-06-04,Maharashtra,Power Bank,32893.0,1,32893.0
IN-1315,2025-03-21,Delhi,Laptop,5997.0,1,5997.0
IN-1316,2025-10-05,Chennai,Earbuds,30612.0,3,91836.0
IN-1317,2025-03-02,Gujrat,Smartwatch,59728.0,3,179184.0
IN-1318,2025-07-15,Bengaluru,Power Bank,56772.5,4,227090.0
IN-1319,2025-07-26,Hyderabad,Smartwatch,26968.0,3,80904.0
IN-1320,2025-04-20,Maharashtra,Earbuds,67942.0,3,203826.0
IN-1321,2025-01-28,Hyderabad,Smartwatch,19348.0,1,19348.0
IN-1322,2025-10-19,Delhi,Backpack,18784.0,5,93920.0
IN-1323,2025-12-22,Delhi,Earbuds,8398.0,1,8398.0
IN-1324,2025-10-08,Hyderabad,Smartwatch,7572.0,1,7572.0
IN-1325,2025-08-29,Bengaluru,Earbuds,72127.5,3,216382.5
IN-1326,2025-01-17,Delhi,Earbuds,2273.0,5,11365.0
IN-1327,2025-12-24,Maharashtra,Earbuds,17014.0,1,17014.0
IN-1328,2025-12-20,Maharashtra,Smartphone,12938.0,1,12938.0
IN-1329,2025-10-25,Maharashtra,Laptop,58417.0,3,175251.0
IN-1330,2025-06-11,Bengaluru,Earbuds,87292.5,2,174585.0
IN-1331,2025-03-26,Hyderabad,Laptop,40177.0,4,160708.0
IN-1332,2025-10-10,Maharashtra,Smartphone,17012.0,2,34024.0
IN-1333,2025-05-12,Bengaluru,Smartwatch,34571.25,3,103713.75
IN-1334,2025-02-17,Delhi,Smartphone,55230.0,3,165690.0
IN-1335,2025-10-10,Chennai,Smartphone,69920.0,1,69920.0
IN-1336,2025-05-21,Maharashtra,Laptop,5522.0,1,5522.0
IN-1337,2025-01-22,Hyderabad,Earbuds,36686.0,2,73372.0
IN-1338,2025-01-19,Maharashtra,Power Bank,62803.0,3,188409.0
IN-1339,2025-12-12,Chennai,Smartphone,58645.0,5,293225.0
IN-1340,2025-02-17,Maharashtra,Power Bank,3231.0,4,12924.0
IN-1341,2025-07-11,Maharashtra,Earbuds,69511.0,2,139022.0
IN-1342,2025-05-15,Bengaluru,Smartwatch,61012.5,5,305062.5
IN-1343,2025-09-29,Bengaluru,Earbuds,67143.75,2,134287.5
IN-1344,2025-09-03,Maharashtra,Power Bank,16343.0,1,16343.0
IN-1345,2025-04-05,Delhi,Laptop,3104.0,5,15520.0
IN-1346,2025-04-04,Maharashtra,Smartphone,55882.0,1,55882.0
IN-1347,2025-01-28,Delhi,Backpack,47800.0,3,143400.0
IN-1348,2025-05-24,Bengaluru,Earbuds,36825.0,4,147300.0
IN-1349,2025-05-26,Hyderabad,Power Bank,8879.0,3,26637.0
IN-1350,2025-10-09,Maharashtra,Earbuds,43091.0,3,129273.0
IN-1351,2025-09-28,Gujrat,Smartphone,21153.0,4,84612.0
IN-1352,2025-05-27,Delhi,Laptop,55987.0,5,279935.0
IN-1353,2025-03-03,Chennai,Power Bank,9258.0,5,46290.0
IN-1354,2025-11-01,Maharashtra,Earbuds,18891.0,4,75564.0
IN-1355,2025-06-23,Chennai,Smartphone,34188.0,2,68376.0
IN-1356,2025-08-14,Maharashtra,Smartphone,15840.0,5,79200.0
IN-1357,2025-11-28,Delhi,Smartphone,5464.0,3,16392.0
IN-1358,2025-08-25,Maharashtra,Laptop,35470.0,3,106410.0
IN-1359,2025-03-25,Gujrat,Laptop,34661.0,3,103983.0
IN-1360,2025-10-14,Bengaluru,Backpack,35263.75,5,176318.75
IN-1361,2025-02-07,Delhi,Smartwatch,70674.0,2,141348.0
IN-1362,2025-01-07,Bengaluru,Smartwatch,27637.5,5,138187.5
IN-1363,2025-10-07,Bengaluru,Power Bank,71016.25,4,284065.0
IN-1364,2025-03-28,Hyderabad,Smartphone,18396.0,4,73584.0
IN-1365,2025-04-24,Hyderabad,Smartwatch,66264.0,5,331320.0
IN-1366,2025-12-06,Hyderabad,Laptop,34907.0,2,69814.0
IN-1367,2025-07-08,Gujrat,Laptop,73132.0,2,146264.0
IN-1368,2025-03-24,Maharashtra,Smartwatch,53758.0,1,53758.0
IN-1369,2025-02-04,Hyderabad,Smartphone,48769.0,2,97538.0
IN-1370,2025-09-09,Delhi,Laptop,66914.0,2,133828.0
IN-1371,2025-04-18,Bengaluru,Power Bank,52323.75,5,261618.75
IN-1372,2025-12-24,Maharashtra,Laptop,65180.0,2,130360.0
IN-1373,2025-03-22,Bengaluru,Power Bank,61016.25,2,122032.5
IN-1374,2025-09-05,Maharashtra,Smartwatch,72504.0,5,362520.0
